wafer_id,target,status,calibrated_failure_probability,uncertainty_adjusted_decision,prediction_confidence,combined_uncertainty,data_familiarity_band,evidence_agreement,recommended_action,priority_1_sensor,top_5_sensors
WF-000217,0,Pass,0.1679896899796958,High Risk,0.246203090900397,0.753796909099603,Familiar,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_034, sensor_478, sensor_206"
WF-000012,1,Fail,0.1668514943075025,High Risk,0.2937924923504679,0.706207507649532,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_478, sensor_034, sensor_342"
WF-000166,0,Pass,0.1657742816473493,High Risk,0.1914613227405539,0.8085386772594461,Familiar,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_520, sensor_511, sensor_563"
WF-000337,1,Fail,0.1620322241434947,High Risk,0.1859828926408584,0.8140171073591416,Familiar,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_065,"sensor_065, sensor_060, sensor_104, sensor_153, sensor_064"
WF-000327,1,Fail,0.1602795371211892,High Risk,0.2538371262609686,0.7461628737390313,Very Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_478, sensor_104, sensor_206, sensor_342"
WF-000175,0,Pass,0.1575054607472795,High Risk,0.1774426246731109,0.8225573753268891,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_511, sensor_015, sensor_034"
WF-000069,0,Pass,0.1550037502939744,High Risk,0.2080502909361731,0.7919497090638269,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_065, sensor_153, sensor_015"
WF-000346,0,Pass,0.1503474571733583,High Risk,0.2776952390899502,0.7223047609100497,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_511, sensor_060, sensor_153, sensor_476"
WF-000097,1,Fail,0.1492766461690038,Insufficient Evidence,0.1563115601873058,0.8436884398126941,Outside Typical Historical Experience,Insufficient Evidence,Repeat or verify available measurements and obtain engineering review before making a release decision.,sensor_478,"sensor_478, sensor_104, sensor_060, sensor_206, sensor_511"
WF-000243,0,Pass,0.1490733499274895,High Risk,0.2764243428399709,0.723575657160029,Very Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_065, sensor_066, sensor_520"
WF-000690,0,Pass,0.1403861357013753,High Risk,0.2042636023153765,0.7957363976846235,Familiar,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_034, sensor_511, sensor_015, sensor_349"
WF-000177,0,Pass,0.1383367466928345,High Risk,0.230143125299454,0.7698568747005459,Familiar,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_511, sensor_060, sensor_065, sensor_478"
WF-000027,0,Pass,0.1359081637688931,High Risk,0.2564682474872333,0.7435317525127667,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_034, sensor_060, sensor_065, sensor_478"
WF-000233,0,Pass,0.1346828590055515,High Risk,0.1685636711637997,0.8314363288362002,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_478, sensor_206, sensor_060, sensor_065"
WF-001243,1,Fail,0.1296846647603923,High Risk,0.2400582744467248,0.7599417255532752,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_511, sensor_060, sensor_125, sensor_434"
WF-000246,0,Pass,0.1290701768064499,High Risk,0.3233270058247077,0.6766729941752923,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_478, sensor_206, sensor_060, sensor_342"
WF-000059,1,Fail,0.1271055599532795,High Risk,0.1648954744173592,0.8351045255826408,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_034, sensor_432, sensor_153, sensor_104"
WF-000052,0,Pass,0.1263664825255144,Insufficient Evidence,0.1483198884860631,0.8516801115139369,Outside Typical Historical Experience,Insufficient Evidence,Repeat or verify available measurements and obtain engineering review before making a release decision.,sensor_060,"sensor_060, sensor_104, sensor_511, sensor_478, sensor_342"
WF-000010,0,Pass,0.1258533507077437,High Risk,0.2519468736781179,0.7480531263218821,Outside Typical Historical Experience,Convergent Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_478, sensor_104, sensor_206, sensor_342"
WF-000321,0,Pass,0.1258310775114571,High Risk,0.3077908122238149,0.6922091877761851,Familiar,Convergent Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_206, sensor_104, sensor_478, sensor_342"
WF-000141,0,Pass,0.1223067350011968,High Risk,0.3017567133283098,0.6982432866716901,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_511, sensor_065, sensor_060, sensor_066"
WF-000080,0,Pass,0.1217196747138822,High Risk,0.1876960654735811,0.8123039345264189,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_511, sensor_520, sensor_386"
WF-001205,0,Pass,0.1215678334293939,High Risk,0.3735110521406313,0.6264889478593687,Very Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_424,"sensor_424, sensor_432, sensor_104, sensor_181, sensor_060"
WF-000564,0,Pass,0.1215244773666268,High Risk,0.2444129874081834,0.7555870125918165,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_478,"sensor_478, sensor_206, sensor_104, sensor_342, sensor_060"
WF-000220,0,Pass,0.1179466031569671,High Risk,0.3170906565417035,0.6829093434582965,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_511, sensor_478, sensor_103, sensor_271"
WF-000154,0,Pass,0.1163668071051087,High Risk,0.160829981719526,0.839170018280474,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_511, sensor_520, sensor_386"
WF-000298,0,Pass,0.1151980509692443,High Risk,0.2434314078657533,0.7565685921342467,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_065, sensor_060, sensor_066, sensor_032"
WF-000435,0,Pass,0.1117264891273574,High Risk,0.246770151989995,0.753229848010005,Very Familiar,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_153, sensor_034, sensor_032, sensor_478"
WF-000150,0,Pass,0.1112806630063405,High Risk,0.158852601728333,0.841147398271667,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_065,"sensor_065, sensor_104, sensor_060, sensor_015, sensor_066"
WF-000307,0,Pass,0.1087341887862489,High Risk,0.3235004172156148,0.6764995827843852,Very Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_511, sensor_432, sensor_214"
WF-000384,0,Pass,0.1083175541615425,High Risk,0.1667206151448141,0.8332793848551858,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_153,"sensor_153, sensor_034, sensor_104, sensor_288, sensor_426"
WF-000867,0,Pass,0.1070555208950243,High Risk,0.2158146286635559,0.7841853713364441,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_153, sensor_288, sensor_034"
WF-001398,0,Pass,0.1069377987734891,Insufficient Evidence,0.1910463014371493,0.8089536985628507,Outside Typical Historical Experience,Insufficient Evidence,Repeat or verify available measurements and obtain engineering review before making a release decision.,sensor_478,"sensor_478, sensor_206, sensor_342, sensor_104, sensor_065"
WF-000109,0,Pass,0.1053196950607065,High Risk,0.2106138718048577,0.7893861281951422,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_478, sensor_206, sensor_342"
WF-000131,0,Pass,0.104469726751709,High Risk,0.1516262019641405,0.8483737980358594,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_511, sensor_520, sensor_386"
WF-000026,0,Pass,0.1022168043439557,High Risk,0.1531403631459024,0.8468596368540975,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_282, sensor_214, sensor_352, sensor_147"
WF-000051,1,Fail,0.1019898466008417,High Risk,0.2495287098979795,0.7504712901020205,Familiar,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_034, sensor_104, sensor_424, sensor_478"
WF-001255,1,Fail,0.1017632844266155,High Risk,0.3108319113952568,0.6891680886047432,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_478,"sensor_478, sensor_104, sensor_133, sensor_432, sensor_511"
WF-000113,0,Pass,0.1003935256931306,High Risk,0.2133200057636572,0.7866799942363427,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_034, sensor_153, sensor_478"
WF-000235,0,Pass,0.0996491343707387,High Risk,0.343034950736988,0.656965049263012,Familiar,Convergent Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_034,"sensor_034, sensor_520, sensor_104, sensor_153, sensor_060"
WF-001192,0,Pass,0.0988537527957076,High Risk,0.3089427468217092,0.6910572531782908,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_282, sensor_478, sensor_082"
WF-001272,0,Pass,0.098118345415062,High Risk,0.2910987962327803,0.7089012037672198,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_206, sensor_125, sensor_015"
WF-000270,0,Pass,0.0978985629258668,High Risk,0.2956679767881815,0.7043320232118184,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_034, sensor_104, sensor_478, sensor_206"
WF-000176,0,Pass,0.0977705350883857,High Risk,0.2649847707133506,0.7350152292866494,Unusual,Convergent Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_511, sensor_478, sensor_015"
WF-001093,0,Pass,0.0971869380346342,High Risk,0.1907753285344991,0.8092246714655008,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_034,"sensor_034, sensor_104, sensor_282, sensor_060, sensor_511"
WF-000516,0,Pass,0.0958298481546696,High Risk,0.3064157317995982,0.6935842682004019,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_153, sensor_478, sensor_206"
WF-001335,0,Pass,0.095739907530341,High Risk,0.3300711756792875,0.6699288243207124,Unusual,Convergent Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_478,"sensor_478, sensor_060, sensor_206, sensor_104, sensor_082"
WF-000019,0,Pass,0.0933540879499721,High Risk,0.2587157052241994,0.7412842947758006,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_511, sensor_478, sensor_060, sensor_317"
WF-000519,1,Fail,0.0920218471522257,High Risk,0.2390764535929155,0.7609235464070845,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_478, sensor_206, sensor_342, sensor_104"
WF-001306,0,Pass,0.0919695668780326,High Risk,0.3787097422509115,0.6212902577490884,Very Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_125,"sensor_125, sensor_424, sensor_060, sensor_015, sensor_432"
WF-000032,0,Pass,0.0918302668887925,High Risk,0.2243347643134326,0.7756652356865673,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_520, sensor_104, sensor_065, sensor_386"
WF-000461,0,Pass,0.0916390001200131,High Risk,0.2729614092316619,0.7270385907683381,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_034, sensor_520, sensor_386, sensor_060"
WF-000142,0,Pass,0.091274723666988,High Risk,0.3145304428185273,0.6854695571814726,Very Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_065, sensor_511, sensor_066"
WF-000105,0,Pass,0.0903947877565658,High Risk,0.3076931145399352,0.6923068854600648,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_060, sensor_520, sensor_181, sensor_034"
WF-000847,0,Pass,0.0901201075521735,High Risk,0.3495374753724185,0.6504625246275815,Very Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_432, sensor_015, sensor_060, sensor_478"
WF-000247,0,Pass,0.0881819396074319,High Risk,0.2720674056271345,0.7279325943728655,Unusual,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_478, sensor_206, sensor_104, sensor_342"
WF-001227,0,Pass,0.0881482315700047,High Risk,0.3289197566845739,0.6710802433154262,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_126, sensor_034, sensor_282, sensor_130"
WF-000269,0,Pass,0.0862601096438172,High Risk,0.3396890071568369,0.6603109928431631,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_478, sensor_104, sensor_206, sensor_342"
WF-000117,0,Pass,0.08617730496953,High Risk,0.3532961700040336,0.6467038299959664,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_104, sensor_511, sensor_034, sensor_424"
WF-001095,0,Pass,0.0855171138577884,High Risk,0.2856929953313584,0.7143070046686416,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_478, sensor_424, sensor_432, sensor_282"
WF-000436,0,Pass,0.0825632478349338,High Risk,0.2955147580266538,0.7044852419733462,Very Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_034, sensor_153, sensor_104, sensor_064"
WF-000196,0,Pass,0.0824352728077776,Insufficient Evidence,0.1408361504996082,0.8591638495003917,Outside Typical Historical Experience,Insufficient Evidence,Repeat or verify available measurements and obtain engineering review before making a release decision.,sensor_104,"sensor_104, sensor_060, sensor_511, sensor_432, sensor_478"
WF-000770,0,Pass,0.0823713437739899,High Risk,0.2447612854295981,0.7552387145704018,Outside Typical Historical Experience,High Risk with Reliability Caution,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_511, sensor_342, sensor_432, sensor_214"
WF-000289,0,Pass,0.0818613127245224,High Risk,0.2884532241536857,0.7115467758463143,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_060,"sensor_060, sensor_206, sensor_342, sensor_104, sensor_147"
WF-000343,0,Pass,0.0814487425053567,High Risk,0.37839798192844,0.62160201807156,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_511, sensor_034, sensor_060, sensor_317"
WF-000398,0,Pass,0.081353766436341,High Risk,0.4028354769189939,0.5971645230810061,Familiar,Model-Led Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_478,"sensor_478, sensor_206, sensor_034, sensor_104, sensor_342"
WF-000465,0,Pass,0.080974732001453,High Risk,0.3288158320296104,0.6711841679703896,Unusual,Convergent Risk Evidence,Hold for inspection or prioritised engineering assessment before continuing.,sensor_104,"sensor_104, sensor_511, sensor_103, sensor_282, sensor_060"
WF-001138,0,Pass,0.0795190587134035,Engineering Review,0.3769974869130637,0.6230025130869363,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_424,"sensor_424, sensor_104, sensor_214, sensor_478, sensor_206"
WF-000521,0,Pass,0.0781913240428275,Engineering Review,0.3639075706512817,0.6360924293487182,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_511,"sensor_511, sensor_104, sensor_034, sensor_478, sensor_206"
WF-000450,0,Pass,0.0780687049992616,Engineering Review,0.3396589310183181,0.6603410689816819,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_342,"sensor_342, sensor_015, sensor_104, sensor_578, sensor_001"
WF-001034,0,Pass,0.0771235202510167,Engineering Review,0.194284902104989,0.805715097895011,Outside Typical Historical Experience,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_104, sensor_349, sensor_082, sensor_130"
WF-001310,0,Pass,0.076744950457366,Engineering Review,0.3174048210039116,0.6825951789960883,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_104, sensor_432, sensor_511, sensor_133"
WF-000653,0,Pass,0.0764582147901078,Engineering Review,0.2013106415283714,0.7986893584716286,Familiar,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_511, sensor_060, sensor_034, sensor_478"
WF-000042,0,Pass,0.0756628180524629,Engineering Review,0.3290151653638155,0.6709848346361845,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_060, sensor_432, sensor_511, sensor_478"
WF-000256,0,Pass,0.0752601224037912,Engineering Review,0.3027034066484707,0.6972965933515293,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_153, sensor_342, sensor_282, sensor_060"
WF-000063,1,Fail,0.0736807735274379,Engineering Review,0.2855868672884275,0.7144131327115725,Outside Typical Historical Experience,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_060, sensor_520, sensor_478, sensor_206"
WF-000915,1,Fail,0.0729517403904716,Engineering Review,0.2911180696371755,0.7088819303628244,Very Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_060, sensor_153, sensor_015, sensor_511"
WF-001209,0,Pass,0.0725170463385827,Engineering Review,0.2990451487357989,0.7009548512642011,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_424,"sensor_424, sensor_060, sensor_478, sensor_104, sensor_034"
WF-000018,0,Pass,0.0713107101820972,Engineering Review,0.2402717066243325,0.7597282933756675,Unusual,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_511, sensor_214, sensor_060, sensor_478"
WF-000459,0,Pass,0.0703880901952532,Engineering Review,0.3171860517048637,0.6828139482951363,Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_034, sensor_520, sensor_317, sensor_060"
WF-000443,0,Pass,0.070261084641459,Engineering Review,0.4021142783648853,0.5978857216351148,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_206,"sensor_206, sensor_065, sensor_060, sensor_104, sensor_317"
WF-000345,1,Fail,0.0687648573608557,Engineering Review,0.3236884508646423,0.6763115491353577,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_153, sensor_520, sensor_386, sensor_104"
WF-000572,0,Pass,0.0683636751133987,Engineering Review,0.3445752506569946,0.6554247493430054,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_520,"sensor_520, sensor_104, sensor_206, sensor_386, sensor_511"
WF-000155,1,Fail,0.0680880688253122,Engineering Review,0.2833128978460839,0.7166871021539161,Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_104, sensor_520, sensor_214, sensor_424"
WF-001457,0,Pass,0.0675257997962518,Engineering Review,0.2209721904904062,0.7790278095095937,Outside Typical Historical Experience,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_034, sensor_342, sensor_206, sensor_104"
WF-000644,0,Pass,0.0674301676033938,Engineering Review,0.3093740136802027,0.6906259863197972,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_065,"sensor_065, sensor_060, sensor_066, sensor_104, sensor_214"
WF-000631,0,Pass,0.0671575177307038,Engineering Review,0.3225573472489067,0.6774426527510933,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_153, sensor_478, sensor_064, sensor_206"
WF-001362,0,Pass,0.0656332363013397,Engineering Review,0.3948880345102794,0.6051119654897206,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_060, sensor_206, sensor_342, sensor_104"
WF-001219,0,Pass,0.065472972330567,Engineering Review,0.4047061564805808,0.5952938435194193,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_034, sensor_478, sensor_060, sensor_133"
WF-000332,0,Pass,0.065246456767347,Engineering Review,0.3930199381567751,0.6069800618432248,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_478, sensor_153, sensor_206, sensor_288"
WF-001283,0,Pass,0.0640837006656665,Engineering Review,0.3738157120908545,0.6261842879091455,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_034, sensor_125, sensor_015, sensor_060"
WF-001284,0,Pass,0.0639657036553918,Engineering Review,0.2714142424031071,0.7285857575968929,Outside Typical Historical Experience,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_282, sensor_130, sensor_511, sensor_060"
WF-001345,0,Pass,0.063508442882036,Engineering Review,0.3189611215877698,0.6810388784122302,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_130, sensor_104, sensor_478, sensor_317"
